transformation,serialized_rows,evidence_classes,absolute_objective_difference,maximum_absolute_gradient_difference,l2_gradient_difference,quotient_objective_response_from_clean,quotient_maximum_gradient_response_from_clean,class_normalized_objective_response_from_clean,class_normalized_maximum_gradient_response_from_clean
clean,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_x2,8,4,5.960464477539063e-08,2.2351741790771484e-08,2.8640277704994332e-08,0.0,0.0,-5.960464477539063e-08,2.2351741790771484e-08
all_x5,20,4,0.0,3.725290298461914e-08,5.669865643653793e-08,0.0,0.0,0.0,3.725290298461914e-08
all_x10,40,4,0.0,1.4901161193847656e-08,7.814284685991879e-08,0.0,0.0,0.0,1.4901161193847656e-08
one_to_many_metadata_join,10,4,0.0,7.450580596923828e-09,2.4136157961152094e-08,0.0,0.0,0.0,7.450580596923828e-09
repeated_export_concatenation,12,4,0.0,6.05359673500061e-09,2.4197012393756268e-08,0.0,0.0,0.0,6.05359673500061e-09
exploded_list_metadata,11,4,5.960464477539063e-08,7.450580596923828e-09,2.5607850062669968e-08,0.0,0.0,-5.960464477539063e-08,7.450580596923828e-09
heterogeneous_metadata_fanout,12,4,0.0,6.05359673500061e-09,2.1370670566511762e-08,0.0,0.0,0.0,6.05359673500061e-09
deterministic_row_reorder,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_materialization_sequence,30,4,0.0,4.470348358154297e-08,7.682002234332685e-08,0.0,0.0,0.0,4.470348358154297e-08
