dataset,group,method,clean,five_copy_range_materialization,signed_response
daphnet,S01,quotient_learning,0.0123456790123456,0.0123456790123456,0.0
daphnet,S01,ordinary_learning,0.0123456790123456,0.0229885057471264,0.010642826734780798
daphnet,S02,quotient_learning,0.0337606837606837,0.0337606837606837,0.0
daphnet,S02,ordinary_learning,0.0337606837606837,0.1026957637997432,0.06893508003905949
daphnet,S03,quotient_learning,0.1135571168358053,0.1135571168358053,0.0
daphnet,S03,ordinary_learning,0.1135571168358053,0.0,-0.1135571168358053
daphnet,S04,quotient_learning,0.0,0.0,0.0
daphnet,S04,ordinary_learning,0.0,0.0,0.0
daphnet,S05,quotient_learning,0.0498448882847084,0.0498448882847084,0.0
daphnet,S05,ordinary_learning,0.0498448882847084,0.0,-0.0498448882847084
daphnet,S06,quotient_learning,0.0329268292682926,0.0329268292682926,0.0
daphnet,S06,ordinary_learning,0.0329268292682926,0.0,-0.0329268292682926
daphnet,S07,quotient_learning,0.0,0.0,0.0
daphnet,S07,ordinary_learning,0.0,0.0,0.0
daphnet,S08,quotient_learning,0.1194681861348528,0.1194681861348528,0.0
daphnet,S08,ordinary_learning,0.1194681861348528,0.0,-0.1194681861348528
daphnet,S09,quotient_learning,0.0315860215053763,0.0315860215053763,0.0
daphnet,S09,ordinary_learning,0.0315860215053763,0.0,-0.0315860215053763
daphnet,S10,quotient_learning,0.0,0.0,0.0
daphnet,S10,ordinary_learning,0.0,0.0,0.0
hapt,subject_01,quotient_learning,0.8773809523809524,0.8773809523809524,0.0
hapt,subject_01,ordinary_learning,0.8773809523809524,0.80503663003663,-0.07234432234432242
hapt,subject_02,quotient_learning,0.849002849002849,0.849002849002849,0.0
hapt,subject_02,ordinary_learning,0.849002849002849,0.8434065934065934,-0.005596255596255539
hapt,subject_03,quotient_learning,0.9078144078144078,0.9078144078144078,0.0
hapt,subject_03,ordinary_learning,0.9078144078144078,0.860576923076923,-0.04723748473748479
hapt,subject_04,quotient_learning,0.8361915861915862,0.8361915861915862,0.0
hapt,subject_04,ordinary_learning,0.8361915861915862,0.6725885225885225,-0.16360306360306365
hapt,subject_05,quotient_learning,0.9043956043956044,0.9043956043956044,0.0
hapt,subject_05,ordinary_learning,0.9043956043956044,0.6282051282051282,-0.2761904761904762
hapt,subject_06,quotient_learning,0.6194522498220374,0.6194522498220374,0.0
hapt,subject_06,ordinary_learning,0.6194522498220374,0.5280830280830281,-0.0913692217390093
hapt,subject_07,quotient_learning,0.7784493284493283,0.7784493284493283,0.0
hapt,subject_07,ordinary_learning,0.7784493284493283,0.9188034188034188,0.1403540903540904
hapt,subject_08,quotient_learning,0.7726800976800977,0.7726800976800977,0.0
hapt,subject_08,ordinary_learning,0.7726800976800977,0.8023656898656899,0.02968559218559219
hapt,subject_09,quotient_learning,0.7069632981397688,0.7069632981397688,0.0
hapt,subject_09,ordinary_learning,0.7069632981397688,0.5618131868131868,-0.14515011132658195
hapt,subject_10,quotient_learning,0.4277584331932158,0.4277584331932158,0.0
hapt,subject_10,ordinary_learning,0.4277584331932158,0.3177387914230019,-0.11001964177021395
hapt,subject_11,quotient_learning,0.9743589743589745,0.9743589743589745,0.0
hapt,subject_11,ordinary_learning,0.9743589743589745,0.9172161172161172,-0.05714285714285727
hapt,subject_12,quotient_learning,0.8583638583638583,0.8583638583638583,0.0
hapt,subject_12,ordinary_learning,0.8583638583638583,0.8968253968253969,0.03846153846153855
hapt,subject_13,quotient_learning,0.905982905982906,0.905982905982906,0.0
hapt,subject_13,ordinary_learning,0.905982905982906,0.895959595959596,-0.010023310023310028
hapt,subject_14,quotient_learning,0.9141414141414144,0.9141414141414144,0.0
hapt,subject_14,ordinary_learning,0.9141414141414144,0.6880730380730381,-0.22606837606837626
hapt,subject_15,quotient_learning,0.9267399267399268,0.9267399267399268,0.0
hapt,subject_15,ordinary_learning,0.9267399267399268,0.6282051282051282,-0.2985347985347986
hapt,subject_16,quotient_learning,0.6694728616084115,0.6694728616084115,0.0
hapt,subject_16,ordinary_learning,0.6694728616084115,0.6078308516389012,-0.0616420099695103
hapt,subject_17,quotient_learning,0.9043956043956044,0.9043956043956044,0.0
hapt,subject_17,ordinary_learning,0.9043956043956044,0.7456654456654457,-0.15873015873015872
hapt,subject_18,quotient_learning,0.8993589743589743,0.8993589743589743,0.0
hapt,subject_18,ordinary_learning,0.8993589743589743,0.8244810744810745,-0.07487789987789972
hapt,subject_19,quotient_learning,0.9015151515151516,0.9015151515151516,0.0
hapt,subject_19,ordinary_learning,0.9015151515151516,0.7666666666666666,-0.134848484848485
hapt,subject_20,quotient_learning,0.8805860805860806,0.8805860805860806,0.0
hapt,subject_20,ordinary_learning,0.8805860805860806,0.4841880341880342,-0.3963980463980464
