dataset,architecture,fold,transformation,method,segment_f1_response,maximum_absolute_probability_response,mean_absolute_probability_response,decoded_bins_changed,checkpoint_changed,update_difference,scaler_mean_norm_response,scaler_std_norm_response
hapt,tcn,0,clean,ordinary_learning,0.0,0.0,0.0,0,False,0,0.0,0.0
hapt,tcn,0,one_to_many_metadata_join,ordinary_learning,0.0,0.0145298093557357,0.0024134926416645,1,False,0,0.0147922039031982,0.0056462287902832
hapt,tcn,0,repeated_export_concatenation,ordinary_learning,0.0,0.0001355409622192,1.4142570218131167e-05,0,False,0,-4.291534423828125e-06,-5.7220458984375e-05
hapt,tcn,0,exploded_list_metadata,ordinary_learning,0.0,0.0158760845661163,0.0011014720911328,1,False,0,0.0014607906341552,-0.010404348373413
hapt,tcn,0,heterogeneous_metadata_fanout,ordinary_learning,0.0,0.0999145954847335,0.0206170508451834,1,False,0,-0.0042281150817871,0.0077340602874755
hapt,tcn,0,deterministic_row_reorder,ordinary_learning,0.0,0.0001618266105651,1.3087648298206045e-05,0,False,0,-3.814697265625e-06,2.86102294921875e-06
hapt,tcn,0,mixed_materialization_sequence,ordinary_learning,0.0,0.0142402648925781,0.0024002143045639,1,False,0,0.0147724151611328,0.0054495334625244
hapt,tcn,0,clean,quotient_learning,0.0,0.0,0.0,0,False,0,0.0,0.0
hapt,tcn,0,one_to_many_metadata_join,quotient_learning,0.0,0.0,0.0,0,False,0,0.0,0.0
hapt,tcn,0,repeated_export_concatenation,quotient_learning,0.0,0.0,0.0,0,False,0,0.0,0.0
hapt,tcn,0,exploded_list_metadata,quotient_learning,0.0,0.0,0.0,0,False,0,0.0,0.0
hapt,tcn,0,heterogeneous_metadata_fanout,quotient_learning,0.0,0.0,0.0,0,False,0,0.0,0.0
hapt,tcn,0,deterministic_row_reorder,quotient_learning,0.0,0.0,0.0,0,False,0,0.0,0.0
hapt,tcn,0,mixed_materialization_sequence,quotient_learning,0.0,0.0,0.0,0,False,0,0.0,0.0
hapt,tcn,1,clean,ordinary_learning,0.0,0.0,0.0,0,False,0,0.0,0.0
hapt,tcn,1,one_to_many_metadata_join,ordinary_learning,0.0297818847818848,0.0569388270378112,0.0047032310966582,57,False,0,-0.0186812877655029,0.0001220703125
hapt,tcn,1,repeated_export_concatenation,ordinary_learning,0.0,0.0003064274787902,2.7799484927544588e-05,2,False,0,-1.1920928955078125e-06,-6.103515625e-05
hapt,tcn,1,exploded_list_metadata,ordinary_learning,-0.0102913752913752,0.1332794725894928,0.0071423988872506,62,False,0,0.0295877456665039,0.02911376953125
hapt,tcn,1,heterogeneous_metadata_fanout,ordinary_learning,-0.1702419802419801,0.4157920181751251,0.0390904226797747,564,False,0,0.0099928379058837,-0.0051991939544677
hapt,tcn,1,deterministic_row_reorder,ordinary_learning,0.0,0.0002409219741821,1.1863077157950756e-05,0,False,0,-5.245208740234375e-06,-7.152557373046875e-07
hapt,tcn,1,mixed_materialization_sequence,ordinary_learning,0.0297818847818848,0.056476891040802,0.0046450997193488,56,False,0,-0.0185778141021728,-5.435943603515625e-05
hapt,tcn,1,clean,quotient_learning,0.0,0.0,0.0,0,False,0,0.0,0.0
hapt,tcn,1,one_to_many_metadata_join,quotient_learning,0.0,0.0,0.0,0,False,0,0.0,0.0
hapt,tcn,1,repeated_export_concatenation,quotient_learning,0.0,0.0,0.0,0,False,0,0.0,0.0
