dataset,architecture,condition,run_index,method,seed,maximum_epochs,realized_epochs,optimizer_steps,learning_rate,selection
hapt,tcn,clean,0,ordinary_learning,1103,25,25,25,0.01,native_weak_objective
hapt,tcn,clean,1,ordinary_learning,2207,25,25,25,0.01,native_weak_objective
hapt,tcn,clean,2,ordinary_learning,3301,25,25,25,0.01,native_weak_objective
hapt,tcn,clean,3,ordinary_unique_acquisition_scaler,1103,25,25,25,0.01,native_weak_objective
hapt,tcn,clean,4,ordinary_unique_acquisition_scaler,2207,25,25,25,0.01,native_weak_objective
hapt,tcn,clean,5,ordinary_unique_acquisition_scaler,3301,25,25,25,0.01,native_weak_objective
hapt,tcn,clean,6,quotient_learning,1103,25,25,25,0.01,native_weak_objective
hapt,tcn,clean,7,quotient_learning,2207,25,25,25,0.01,native_weak_objective
hapt,tcn,clean,8,quotient_learning,3301,25,25,25,0.01,native_weak_objective
hapt,tcn,clean,9,ordinary_learning,1103,25,25,25,0.01,native_weak_objective
hapt,tcn,clean,10,ordinary_learning,2207,25,25,25,0.01,native_weak_objective
hapt,tcn,clean,11,ordinary_learning,3301,25,25,25,0.01,native_weak_objective
hapt,tcn,clean,12,ordinary_unique_acquisition_scaler,1103,25,25,25,0.01,native_weak_objective
hapt,tcn,clean,13,ordinary_unique_acquisition_scaler,2207,25,25,25,0.01,native_weak_objective
hapt,tcn,clean,14,ordinary_unique_acquisition_scaler,3301,25,25,25,0.01,native_weak_objective
hapt,tcn,clean,15,quotient_learning,1103,25,25,25,0.01,native_weak_objective
hapt,tcn,clean,16,quotient_learning,2207,25,25,25,0.01,native_weak_objective
hapt,tcn,clean,17,quotient_learning,3301,25,25,25,0.01,native_weak_objective
hapt,tcn,clean,18,ordinary_learning,1103,25,25,25,0.01,native_weak_objective
hapt,tcn,clean,19,ordinary_learning,2207,25,25,25,0.01,native_weak_objective
hapt,tcn,clean,20,ordinary_learning,3301,25,25,25,0.01,native_weak_objective
hapt,tcn,clean,21,ordinary_unique_acquisition_scaler,1103,25,25,25,0.01,native_weak_objective
hapt,tcn,clean,22,ordinary_unique_acquisition_scaler,2207,25,25,25,0.01,native_weak_objective
hapt,tcn,clean,23,ordinary_unique_acquisition_scaler,3301,25,25,25,0.01,native_weak_objective
hapt,tcn,clean,24,quotient_learning,1103,25,25,25,0.01,native_weak_objective
hapt,tcn,clean,25,quotient_learning,2207,25,25,25,0.01,native_weak_objective
hapt,tcn,clean,26,quotient_learning,3301,25,25,25,0.01,native_weak_objective
hapt,tcn,clean,27,ordinary_learning,1103,25,23,23,0.01,native_weak_objective
hapt,tcn,clean,28,ordinary_learning,2207,25,25,25,0.01,native_weak_objective
hapt,tcn,clean,29,ordinary_learning,3301,25,25,25,0.01,native_weak_objective
hapt,tcn,clean,30,ordinary_unique_acquisition_scaler,1103,25,23,23,0.01,native_weak_objective
hapt,tcn,clean,31,ordinary_unique_acquisition_scaler,2207,25,25,25,0.01,native_weak_objective
hapt,tcn,clean,32,ordinary_unique_acquisition_scaler,3301,25,25,25,0.01,native_weak_objective
hapt,tcn,clean,33,quotient_learning,1103,25,23,23,0.01,native_weak_objective
hapt,tcn,clean,34,quotient_learning,2207,25,25,25,0.01,native_weak_objective
hapt,tcn,clean,35,quotient_learning,3301,25,25,25,0.01,native_weak_objective
hapt,tcn,clean,36,ordinary_learning,1103,25,25,25,0.01,native_weak_objective
hapt,tcn,clean,37,ordinary_learning,2207,25,25,25,0.01,native_weak_objective
hapt,tcn,clean,38,ordinary_learning,3301,25,16,16,0.01,native_weak_objective
hapt,tcn,clean,39,ordinary_unique_acquisition_scaler,1103,25,25,25,0.01,native_weak_objective
hapt,tcn,clean,40,ordinary_unique_acquisition_scaler,2207,25,25,25,0.01,native_weak_objective
hapt,tcn,clean,41,ordinary_unique_acquisition_scaler,3301,25,16,16,0.01,native_weak_objective
hapt,tcn,clean,42,quotient_learning,1103,25,25,25,0.01,native_weak_objective
hapt,tcn,clean,43,quotient_learning,2207,25,25,25,0.01,native_weak_objective
hapt,tcn,clean,44,quotient_learning,3301,25,16,16,0.01,native_weak_objective
hapt,tcn,five_copy_range_materialization,0,ordinary_learning,1103,25,25,25,0.01,native_weak_objective
