dataset,fold,train_groups,validation_groups,test_groups,train_emission_classes,validation_emission_classes,held_out_dense_acquisitions,pairwise_group_disjoint,groups_collectively_exhaustive,cross_weak_role_evidence_classes,held_out_contains_weak_rows,dataset_acquisitions_with_unique_group
hapt,0,18,6,6,790,258,12,True,True,0,False,733
hapt,1,18,6,6,818,268,12,True,True,0,False,733
hapt,2,18,6,6,822,254,12,True,True,0,False,733
hapt,3,18,6,6,822,268,12,True,True,0,False,733
hapt,4,18,6,6,780,296,13,True,True,0,False,733
mhealth,0,6,2,2,166,64,27,True,True,0,False,142
mhealth,1,6,2,2,164,56,32,True,True,0,False,142
mhealth,2,6,2,2,172,56,28,True,True,0,False,142
mhealth,3,6,2,2,174,54,28,True,True,0,False,142
mhealth,4,6,2,2,176,54,27,True,True,0,False,142
synthetic,0,18,6,6,226,96,45,True,True,0,False,206
synthetic,1,18,6,6,238,78,48,True,True,0,False,206
synthetic,2,18,6,6,258,76,39,True,True,0,False,206
synthetic,3,18,6,6,264,72,38,True,True,0,False,206
synthetic,4,18,6,6,250,90,36,True,True,0,False,206
daphnet,0,6,2,2,176,46,32,True,True,0,False,143
daphnet,1,6,2,2,196,44,23,True,True,0,False,143
daphnet,2,6,2,2,180,62,22,True,True,0,False,143
daphnet,3,6,2,2,154,70,31,True,True,0,False,143
daphnet,4,6,2,2,152,64,35,True,True,0,False,143
harth,0,20,1,1,1892,142,34,True,True,0,False,1051
harth,1,20,1,1,1910,50,71,True,True,0,False,1051
harth,2,20,1,1,1934,118,25,True,True,0,False,1051
harth,3,20,1,1,1856,128,59,True,True,0,False,1051
harth,4,20,1,1,1846,128,64,True,True,0,False,1051
harth,5,20,1,1,1848,126,64,True,True,0,False,1051
harth,6,20,1,1,1836,140,63,True,True,0,False,1051
harth,7,20,1,1,1842,120,70,True,True,0,False,1051
harth,8,20,1,1,1858,124,60,True,True,0,False,1051
harth,9,20,1,1,1870,108,62,True,True,0,False,1051
harth,10,20,1,1,1894,100,54,True,True,0,False,1051
harth,11,20,1,1,1878,124,50,True,True,0,False,1051
harth,12,20,1,1,1876,102,62,True,True,0,False,1051
harth,13,20,1,1,1886,114,51,True,True,0,False,1051
harth,14,20,1,1,1942,46,57,True,True,0,False,1051
harth,15,20,1,1,2000,56,23,True,True,0,False,1051
harth,16,20,1,1,1968,78,28,True,True,0,False,1051
harth,17,20,1,1,1960,64,39,True,True,0,False,1051
harth,18,20,1,1,1984,54,32,True,True,0,False,1051
harth,19,20,1,1,1994,54,27,True,True,0,False,1051
harth,20,20,1,1,1990,58,27,True,True,0,False,1051
harth,21,20,1,1,1976,68,29,True,True,0,False,1051
har70,0,16,1,1,676,44,17,True,True,0,False,377
har70,1,16,1,1,674,36,22,True,True,0,False,377
har70,2,16,1,1,668,50,18,True,True,0,False,377
har70,3,16,1,1,676,28,25,True,True,0,False,377
har70,4,16,1,1,684,42,14,True,True,0,False,377
har70,5,16,1,1,672,40,21,True,True,0,False,377
har70,6,16,1,1,670,44,20,True,True,0,False,377
har70,7,16,1,1,668,42,22,True,True,0,False,377
har70,8,16,1,1,672,40,21,True,True,0,False,377
har70,9,16,1,1,672,42,20,True,True,0,False,377
har70,10,16,1,1,672,40,21,True,True,0,False,377
har70,11,16,1,1,672,42,20,True,True,0,False,377
har70,12,16,1,1,678,34,21,True,True,0,False,377
har70,13,16,1,1,670,50,17,True,True,0,False,377
har70,14,16,1,1,656,48,25,True,True,0,False,377
har70,15,16,1,1,656,50,24,True,True,0,False,377
har70,16,16,1,1,656,48,25,True,True,0,False,377
har70,17,16,1,1,672,34,24,True,True,0,False,377
ppg_dalia,0,13,1,1,52,4,1,True,True,0,False,15
ppg_dalia,1,13,1,1,52,4,1,True,True,0,False,15
ppg_dalia,2,13,1,1,52,4,1,True,True,0,False,15
ppg_dalia,3,13,1,1,52,4,1,True,True,0,False,15
ppg_dalia,4,13,1,1,52,4,1,True,True,0,False,15
ppg_dalia,5,13,1,1,52,4,1,True,True,0,False,15
ppg_dalia,6,13,1,1,52,4,1,True,True,0,False,15
ppg_dalia,7,13,1,1,52,4,1,True,True,0,False,15
ppg_dalia,8,13,1,1,52,4,1,True,True,0,False,15
ppg_dalia,9,13,1,1,52,4,1,True,True,0,False,15
ppg_dalia,10,13,1,1,52,4,1,True,True,0,False,15
ppg_dalia,11,13,1,1,52,4,1,True,True,0,False,15
ppg_dalia,12,13,1,1,52,4,1,True,True,0,False,15
ppg_dalia,13,13,1,1,52,4,1,True,True,0,False,15
ppg_dalia,14,13,1,1,52,4,1,True,True,0,False,15
